t       y
5.371	0.160
5.388	0.149
5.404	0.138
5.421	0.128
5.438	0.117
5.454	0.107
5.471	9.624E-2
5.488	8.612E-2
5.505	7.740E-2
5.521	6.924E-2
5.538	6.191E-2
5.555	5.686E-2
5.572	5.218E-2
5.588	4.812E-2
5.605	4.526E-2
5.622	4.289E-2
5.638	4.285E-2
5.655	4.415E-2
5.672	4.714E-2
5.689	5.067E-2
5.705	5.525E-2
5.722	6.064E-2
5.739	6.824E-2
5.756	7.632E-2
5.772	8.574E-2
5.789	9.528E-2
5.806	0.105
5.823	0.116
5.839	0.127
5.856	0.137
5.873	0.148
5.889	0.159
5.906	0.170
5.923	0.180
5.940	0.190
5.956	0.198
5.973	0.207
5.990	0.214
6.007	0.219
6.023	0.223
6.040	0.227
6.057	0.230
6.073	0.233
6.090	0.233
6.107	0.232
6.124	0.229
6.140	0.225
6.157	0.221
6.174	0.215
6.191	0.209
6.207	0.201
6.224	0.192
6.241	0.182
6.258	0.172
6.274	0.162
6.291	0.151
6.308	0.140
6.324	0.130
6.341	0.119
6.358	0.109
6.375	9.817E-2
6.391	8.855E-2
6.408	7.940E-2
6.425	7.117E-2
6.442	6.382E-2
6.458	5.781E-2
6.475	5.427E-2
6.492	5.044E-2
6.508	4.779E-2
6.525	4.619E-2
6.542	4.619E-2
6.559	4.739E-2
6.575	4.972E-2
6.592	5.330E-2
6.609	5.782E-2
6.626	6.332E-2
6.642	7.042E-2
6.659	7.841E-2
6.676	8.715E-2
6.693	9.673E-2
6.709	0.107
6.726	0.117
6.743	0.128
6.759	0.139
6.776	0.149
6.793	0.160
6.810	0.171
6.826	0.181
6.843	0.190
6.860	0.199
6.877	0.207
6.893	0.214
6.910	0.219
6.927	0.224
6.943	0.228
6.960	0.231
6.977	0.233
6.994	0.233
7.010	0.233
7.027	0.231
7.044	0.227
7.061	0.224
7.077	0.219
7.094	0.212
7.111	0.202
7.128	0.193
7.144	0.183
7.161	0.173
7.178	0.162
7.194	0.151
7.211	0.140
7.228	0.130
7.245	0.119
7.261	0.108
7.278	9.826E-2
7.295	8.845E-2
7.312	7.945E-2
7.328	7.124E-2
7.345	6.499E-2
7.362	5.896E-2
7.378	5.411E-2
7.395	5.025E-2
7.412	4.753E-2
7.429	4.824E-2
7.445	4.812E-2
7.462	5.025E-2
7.479	5.235E-2
7.496	5.544E-2
7.512	5.959E-2
7.529	6.509E-2
7.546	7.168E-2
7.563	7.938E-2
7.579	8.797E-2
7.596	9.715E-2
7.613	0.107
7.629	0.117
7.646	0.127
7.663	0.137
7.680	0.148
7.696	0.159
7.713	0.169
7.730	0.180
7.747	0.190
7.763	0.199
7.780	0.208
7.797	0.215
7.813	0.220
7.830	0.226
7.847	0.232
7.864	0.235
7.880	0.235
7.897	0.235
7.914	0.235
7.931	0.233
7.947	0.230
7.964	0.222
7.981	0.216
7.998	0.210
8.014	0.203
8.031	0.194
8.048	0.185
8.064	0.175
8.081	0.165
8.098	0.154
8.115	0.143
8.131	0.133
8.148	0.123
8.165	0.112
8.182	0.102
8.198	9.244E-2
8.215	8.334E-2
8.232	7.509E-2
8.248	6.778E-2
8.265	6.138E-2
8.282	5.660E-2
8.299	5.290E-2
8.315	5.023E-2
8.332	4.690E-2
8.349	4.673E-2
8.366	4.723E-2
8.382	4.918E-2
8.399	5.238E-2
8.416	5.642E-2
8.433	6.168E-2
8.449	6.814E-2
8.466	7.581E-2
8.483	8.459E-2
8.499	9.389E-2
8.516	0.104
8.533	0.114
8.550	0.125
8.566	0.135
8.583	0.145
8.600	0.156
8.617	0.167
8.633	0.177
8.650	0.186
8.667	0.195
8.683	0.204
8.700	0.211
8.717	0.217
8.734	0.222
8.750	0.226
8.767	0.229
8.784	0.234
8.801	0.235
8.817	0.234
8.834	0.232
8.851	0.229
8.868	0.225
8.884	0.219
8.901	0.214
8.918	0.207
8.934	0.198
8.951	0.189
8.968	0.179
8.985	0.169
9.001	0.159
9.018	0.148
9.035	0.137
9.052	0.127
9.068	0.117
9.085	0.106
9.102	9.666E-2
9.118	8.764E-2
9.135	7.931E-2
9.152	7.186E-2
9.169	6.559E-2
9.185	6.045E-2
9.202	5.664E-2
9.219	5.376E-2
9.236	5.159E-2
9.252	5.129E-2
9.269	5.168E-2
9.286	5.340E-2
9.303	5.608E-2
9.319	5.984E-2
9.336	6.498E-2
9.353	7.138E-2
9.369	7.889E-2
9.386	8.706E-2
9.403	9.589E-2
9.420	0.106
9.436	0.115
9.453	0.126
9.470	0.136
9.487	0.147
9.503	0.157
9.520	0.168
9.537	0.178
9.553	0.188
9.570	0.197
9.587	0.206
9.604	0.213
9.620	0.219
9.637	0.224
9.654	0.230
9.671	0.233
9.687	0.235
9.704	0.236
9.721	0.236
9.738	0.234
9.754	0.231
9.771	0.226
9.788	0.222
9.804	0.216
